"Date","EW","Factor","MAXSER","MAXSER_Fac_Constraint","MAXSER_H","MAXSER_Stock_Long_Only","MAXSER_ALL_Long_Only","MAXSER_H_Stock_Long_Only","MAXSER_H_ALL_Long_Only","CYB_ETF","SSE50_ETF","SSE380_ETF","SSE_ETF","HS300_ETF","CSI500_ETF","SZ300_ETF","SZ_ETF","SZ100_ETF","Med_ETF","Bat_ETF","Tech_ETF","Gold_ETF","Bond_ETF","HSI_ETF","FinH_ETF","Brok_ETF","Insur_ETF","Bank_ETF","Bonus_ETF","Fin_ETF","NewE_ETF","SSE","SZ","SZ100","SSE50","CSI500","HS300","CSI100","CYB","SSE380","CYB50"
2016-12-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-03,0,-0.00137644401994497,-0.00103666559976945,-0.000905734421896454,-0.00339242032285325,-0.00121313285893687,-0.00121654893391254,-0.000281876591317842,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00379362670713213,-2.70956204444506e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00299401197604776,0,0,0,-0.00117414355259693,-0.00326530612244902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-05,0,0,-0.00525060630103347,-0.00584456476780959,-0.00118443941738,-0.00362449425786904,-0.00809496441049806,0,-0.000512749224527598,-0.00314630309386477,-0.00129032258064532,0,0,-0.00204319906596606,-0.000448363473322222,0,-0.00362318840579712,-0.00346964064436162,-0.00823353293413176,0,0,-0.000758150113722489,-0.000939314842077432,0,0,-0.0020387359836902,0,0,0,0,0,0,-0.00129033873317641,-0.00236057215234797,0,0,-0.000155270651887252,-0.000255620995924688,-0.00381308167195149,0,-0.00423531488981344
2017-01-06,-0.0049713208872979,-0.00870934059131523,-0.00390718319029315,-0.00383693817820319,-0.00401213663975719,-0.00514013377930522,-0.0029312160311844,-0.00805237363815936,0,-0.0110120608285266,-0.00473118279569906,-0.00317662007623876,-0.0168330955777461,-0.00525394045534167,-0.00508145269765337,0,-0.0108695652173915,-0.01090458488228,-0.0142215568862277,0,0,-0.00189537528430639,-0.000957378589040547,0,0,-0.0112130479102956,-0.0105633802816901,0,0,-0.00876858558902027,0,-0.0035031796828846,-0.00919703376161662,-0.0107312180154305,-0.00591901438163789,-0.00432360870372384,-0.00612918280729324,-0.00601697323412931,-0.013323692673852,-0.00320554283766861,-0.0172988004723071
2017-01-09,0,-0.00363064793817069,-0.00378399738361068,-0.0039400558399777,-0.00226059509049314,-0.0037493075396321,-0.00508284047071472,-0.00303122517607712,0,-0.0152071316203461,-0.00258064516129064,0,-0.00713266761768916,-0.0017513134851137,0,-0.00236406619385343,-0.00905797101449279,-0.00718711276332062,-0.0157185628742516,0,0,0,-0.000514816788446115,0,-0.00879566982408664,-0.0112130479102956,-0.00645539906103287,0,0,-0.00686237133053769,0,0,-0.00511128208634315,-0.00642151998472529,-0.00187197225279045,0,-0.00130955802194088,-0.00229337511926386,-0.0150364160848377,0,-0.0158151160352684
2017-01-10,-0.00274147877839825,0,-0.00228832354243258,-0.0025989216140645,0,-0.000813414974384252,-0.00539467680792904,0,-0.00253086069650388,-0.0199265862611432,-0.00516129032258084,-0.0025332488917037,0,-0.00437828371278459,-0.003726893261777,0,-0.0108695652173915,-0.0074349442379178,-0.0119760479041915,0,0,0,-0.000126446228741028,0,-0.00879566982408664,-0.00917431192660556,-0.00880281690140827,0,0,-0.00781547845977903,0,-0.00301617413525834,-0.00756196274002485,-0.00676977026238446,-0.00434239009697424,-0.0033495874079581,-0.00298101838546994,-0.0041247505735007,-0.0200284700725309,-0.00454402854329372,-0.0221145675851643
2017-01-11,-0.00912759462683665,-0.00545688436404534,-0.00958730138668007,-0.0104396420528411,-0.00631733825133085,-0.00785236053786253,-0.0124930921996721,-0.00492053341774279,-0.0058327479445277,-0.0262191924488726,-0.00946236559139801,-0.0107663077897403,-0.0105203298265566,-0.0116754232340922,-0.0116279069767442,-0.000788022064617699,-0.0153985507246378,-0.0138785625774472,-0.0134730538922155,0,0,0,-0.00053288053540923,0,-0.0121786197564275,-0.0122324159021406,-0.011737089201878,0,0,-0.00762485703393068,0,-0.0108736782755997,-0.0163112297024424,-0.0150339241486692,-0.00956221337039398,-0.0130083516005273,-0.0100397469118061,-0.00928202178330018,-0.0271238950272775,-0.0128786997849626,-0.0293470464251425
2017-01-12,-0.0124670704640766,-0.00661442099776877,-0.00957794011016855,-0.0102829337011227,-0.00563144587134246,-0.0081513481779778,-0.0122553979782715,-0.00608031987693625,-0.00771315901999614,-0.0304142632406921,-0.0124731182795703,-0.0183660544648511,-0.0127949957350014,-0.0166374781085815,-0.0237030411449014,-0.0157604412923561,-0.0208333333333335,-0.0190830235439898,-0.0134730538922155,0,0,0,0,-0.00397456279809227,-0.0115020297699594,-0.0101936799184504,-0.0129107981220657,0,0,-0.0102935569958066,0,-0.0163809946658022,-0.0244239937524496,-0.0208915207108071,-0.0117454634379883,-0.0222224058077597,-0.0150484871947727,-0.0121051439726452,-0.0308405701044154,-0.0221127264768488,-0.0354925567485845
2017-01-13,-0.00798071421746727,-0.00851322206935312,-0.0137080506265473,-0.0149427344136112,-0.00925592210245452,-0.0114833762340346,-0.0162232297480652,-0.00736790050022385,-0.00792517554494465,-0.0456213948610381,-0.00645161290322627,-0.0303989867004433,-0.0164913278362241,-0.0148861646234675,-0.0344364937388191,-0.0149724192277383,-0.0307971014492754,-0.028252788104089,-0.026946107784431,0,0,-0.00336952452265038,0,-0.00397456279809227,-0.0115020297699594,-0.0101936799184504,-0.00997652582159614,0,0,-0.00209683568433094,0,-0.0184382367001384,-0.0362614072203121,-0.0287937094436334,-0.00629831694711835,-0.0344108574703716,-0.014369215203342,-0.00754066255707575,-0.0460055283156715,-0.0312715726740683,-0.0515294805725068
