"Date","EW","MAXSER","MAXSER_ALL_Long_Only","MAXSER_H_ALL_Long_Only","SSE","SZ100","SSE50","HS300","CSI500","CYB50"
2016-12-30,0,0,0,0,0,0,0,0,0,0
2017-01-09,-0.00152527838579342,0,0,0,0,0,0,0,0,0
2017-01-10,-0.00688153884937026,-0.00623533342089655,-0.00523297595433803,-0.00610752313502483,-0.00301617413525845,-0.000350501027008399,-0.00247505107111301,-0.00167365210807313,-0.0033495874079581,-0.00640067903148323
2017-01-11,-0.0157198428909956,-0.00186630305465441,-0.0040566874992638,-0.00431500966300269,-0.0108736782755998,-0.00866806632507922,-0.00770466403489378,-0.00874163657016047,-0.0130083516005274,-0.0137493784047581
2017-01-12,-0.0190658575829624,0,-0.00117927544610374,-0.000689870298547057,-0.0163809946658023,-0.0145635206650805,-0.0098920087511043,-0.0137569446901081,-0.0222224058077597,-0.0199936424892513
2017-01-13,-0.0345263428105784,0,-0.00471869044048323,-0.00511780365976666,-0.0184382367001384,-0.0225167814207931,-0.00443464622901935,-0.0130767819861523,-0.0344108574703716,-0.0362882677016589
2017-01-16,-0.0868350258314476,-0.0272796917204066,-0.0312075864614949,-0.0343577519171274,-0.0213821992434496,-0.0460363476331437,0,-0.0132153116277796,-0.0598832468723388,-0.0828836637201977
2017-01-17,-0.0676056496240438,-0.0239418721971164,-0.0247046773183398,-0.0275436110979435,-0.0196964212061166,-0.0347556277067408,-0.00333662189600881,-0.0111611489160944,-0.0519610806281181,-0.0549229502213635
2017-01-18,-0.0794426573994678,-0.0248250142576832,-0.0281052930076748,-0.0308611675997634,-0.0183600337534008,-0.0328875519627921,0,-0.00729391263298174,-0.0540610220660634,-0.0688293042001619
2017-01-19,-0.0778285253679019,-0.0208650434104859,-0.0254499418243667,-0.0252950397016261,-0.0220535463144338,-0.0358969889661194,-0.0033370682203796,-0.0102892445407874,-0.0579451031787954,-0.0679771510839444
2017-01-20,-0.0547552835286107,-0.00938902630466443,-0.0134707498260259,-0.00953456718698009,-0.0151669569845954,-0.0242928337290791,0,-0.0026790324685535,-0.0457365437040179,-0.0477536515041344
2017-01-23,-0.0495286172206004,-0.0116972529404975,-0.0140335122869104,-0.0118675583980112,-0.0108670562518841,-0.0192350633107704,-3.32313386860461e-05,0,-0.0379164752657541,-0.0454808694428543
2017-01-24,-0.0638226329592712,-0.0169388321819703,-0.0203268906370697,-0.0190402638260294,-0.00904473839222308,-0.0224358549288429,0,0,-0.0389924770283832,-0.0623759262259651
2017-01-25,-0.0614751760130964,-0.0199716757230638,-0.0211231215234704,-0.0208054773360759,-0.00683708181920217,-0.0185419103145008,0,0,-0.0367628479956951,-0.0589432067979392
2017-01-26,-0.0539764373790658,-0.0173557467576889,-0.0180270563347205,-0.0179976391167004,-0.00380608696419915,-0.0123955567837376,0,0,-0.0298828587448015,-0.0514930339285882
2017-02-03,-0.0595482521672563,-0.0240725465514314,-0.0225157025877569,-0.0251602453245674,-0.00979618041672048,-0.0186347457216546,-0.0101669864603743,-0.00692717537185339,-0.0324725579023154,-0.05573305630882
2017-02-06,-0.0478674771386421,-0.0207991954217871,-0.0178799223767848,-0.0201934304797535,-0.00449446209616666,-0.0140495427111891,-0.00848426242711564,-0.00435542203703065,-0.0243429226814094,-0.0433297434514553
2017-02-07,-0.0562087279189843,-0.0273316216341802,-0.0238844506829509,-0.0273618856131598,-0.00572300516265567,-0.0175664618964786,-0.0112054699952282,-0.00657504617083848,-0.0248604260642761,-0.0510529416942259
2017-02-08,-0.0466993234587055,-0.0236396214916912,-0.0194213472462601,-0.0210202679716607,-0.00134174813858035,-0.00904509175413182,-0.0074440868620621,-0.00137929568846862,-0.0193003821887181,-0.0421944736749158
2017-02-09,-0.0370034783480355,-0.0168508120167571,-0.0135459238869206,-0.0138544114561602,0,-0.00472892196439734,-0.00385952088472852,0,-0.0131308689676757,-0.0355740288397767
2017-02-10,-0.0434277620462508,-0.022710162230384,-0.0185473839362096,-0.0190784535755307,0,-0.00133325718845123,0,0,-0.0122063772315968,-0.040713857635488
2017-02-13,-0.037808236559131,-0.0181259090197959,-0.0143422135772631,-0.0136284846492998,0,0,0,0,-0.00713359708340067,-0.0347044962850045
2017-02-14,-0.039180194876791,-0.0141387264702287,-0.0125793067660128,-0.0125487868698081,0,-0.000961427671860582,-0.00243432430898938,-0.000137067027522697,-0.00631790575733404,-0.034714026944857
2017-02-15,-0.0530194763005712,-0.0238278810113336,-0.0208773462935393,-0.0223724547277604,-0.00153608160282004,-0.00847224641273336,-0.00298952845473788,-0.00423772835410452,-0.0161676162282202,-0.0472490871590054
2017-02-16,-0.0512342664291593,-0.0193965548397428,-0.0173450561441669,-0.0180885748449694,0,0,-0.00106879950237548,0,-0.00874159855859713,-0.0445748961298231
2017-02-17,-0.0618602282760499,-0.0255141517925076,-0.023532094489375,-0.0254408541643265,-0.00852825318659989,-0.00368403662669803,-0.00697556639438812,-0.00566445205413757,-0.0168741953952486,-0.0531524899970118
2017-02-20,-0.0550113781738845,-0.0208649793513461,-0.0183053141128366,-0.0183730675724384,0,0,0,0,-0.00473157083943254,-0.0467007939039658
2017-02-21,-0.03752699450165,-0.0210633701626181,-0.0149178616939367,-0.0148866992796226,0,0,0,0,0,-0.0318929516285376
2017-02-22,-0.036490743287098,-0.0176016720011035,-0.0132649971002011,-0.0127960357662833,0,0,0,0,0,-0.0302783457241255
2017-02-23,-0.0329244041888825,-0.0204456161762454,-0.0136763421227459,-0.0131211722004632,-0.00301819749553689,-0.00404272948481299,-0.00449296803592059,-0.00470921041207173,-3.58344048903003e-05,-0.0299845771498506
2017-02-24,-0.0262607978621581,-0.0198546162486947,-0.0117361113641115,-0.0111894940818533,-0.00238745155950948,-0.00574682203389842,-0.00346719528711648,-0.00455762392625059,0,-0.0226409234200268
2017-02-27,-0.0339766570712176,-0.0234554559253699,-0.0157205851604354,-0.0156817216988201,-0.00998338657519993,-0.0157325054539353,-0.0115224302307741,-0.0124747940902478,-0.0080157006499989,-0.0296795960345726
2017-02-28,-0.0308887569799645,-0.0203453996838463,-0.0138409553405417,-0.0134298578416426,-0.00597476157680976,-0.0112741756167143,-0.0114607170735291,-0.0105872701165154,-0.00389041971598925,-0.0296711866288206
2017-03-01,-0.0314763385859774,-0.0227465998141888,-0.0148288138196823,-0.0141863576723644,-0.00438026528738666,-0.0081051246014433,-0.0109528344686333,-0.00897455037700334,-0.00131667429721138,-0.0283895931921936
2017-03-02,-0.0374338419557354,-0.0191304957579463,-0.0137705575172115,-0.0110588731567963,-0.009563911397521,-0.0130275633495553,-0.018046511705485,-0.0156632682447516,-0.00641413552619485,-0.0378451290199061
2017-03-03,-0.0290111982473162,-0.000305304099688319,-0.000581907561714057,0,-0.0131567408250537,-0.0121620133411646,-0.0212856184992696,-0.0177359053939858,-0.00360182299246536,-0.0363740436403308
