"Portfolio","Sigma_Anuual","Risk_Annual","Risk_Annual_Idio","SR_Annual","SR_Annual_Idio","Return_Anuual","Return_Cum","MaxDD","Beta","Alpha_Annual"
"EW","18.00%","27.48%","11.41%","0.264","-0.368","5.09%","27.44%","44.01%","0.862","-4.19%"
"MAXSER","18.00%","15.98%","15.87%","-0.518","-0.575","-7.74%","-32.49%","39.77%","0.064","-9.13%"
"MAXSER_ALL_Long_Only","18.00%","17.12%","10.62%","0.367","0.012","6.51%","36.05%","25.20%","0.463","0.13%"
"MAXSER_H_ALL_Long_Only","18.00%","15.32%","11.61%","-0.112","-0.542","-1.38%","-6.56%","29.80%","0.345","-6.29%"
"SSE","18.00%","16.83%","10.55%","0.098","-0.412","1.75%","8.84%","30.77%","0.452","-4.35%"
"SZ100","18.00%","22.97%","11.24%","0.544","0.296","12.02%","74.01%","40.89%","0.691","3.33%"
"SSE50","18.00%","19.16%","15.01%","0.348","0.081","6.54%","36.21%","28.87%","0.411","1.22%"
"HS300","18.00%","19.09%","11.84%","0.377","0.028","7.10%","39.75%","32.46%","0.517","0.33%"
"CSI500","18.00%","21.21%","10.85%","0.091","-0.592","1.17%","5.84%","40.11%","0.629","-6.42%"
"CYB50","18.00%","28.99%","0.00%","0.458","0.000","11.14%","67.45%","45.58%","1.000","0.00%"
